   Compiling ../../../src/bckups/filter_tb.cpp in debug mode
   Generating csim.exe
Length of the input stream 	0
Length of the input stream 	2300001
Coef. index # 142		(-0.068198,0.3288)
Coef. index # 143		(0.57728,0.60119)
Coef. index # 144		(0.41122,0.094454)
Coef. index # 145		(-0.22352,-0.42849)
Coef. index # 146		(-0.4595,-0.32628)
Coef. index # 147		(-0.097287,0.13333)
Coef. index # 148		(0.28367,0.31219)
Coef. index # 149		(0.22756,0.079581)
Coef. index # 150		(-0.064715,-0.15047)
Coef. index # 151		(-0.15762,-0.10529)
Coef. index # 152		(-0.035458,0.013903)
Coef. index # 153		(0.028549,0.018883)
Coef. index # 154		(0.0048175,-0.0010672)
Coef. index # 155		(0.00078958,0.0034117)
Coef. index # 156		(0.0026041,-3.60124e-05)
Coef. index # 157		(-0.0010611,0.00021161)
Coef. index # 158		(0.0015645,0.0011815)
Coef. index # 159		(-0.00024053,-0.00081577)
Coef. index # 160		(0,0.00093944)
Coef. index # 161		(0.00076143,-0.00020097)
Coef. index # 162		(-0.00065814,-0.0001034)
Coef. index # 163		(0.00063288,0.00057615)
Coef. index # 164		(-0.00014002,-0.00054973)
Coef. index # 165		(-0.00016292,0.00044907)
Coef. index # 166		(0.00047283,-8.49124e-05)
Coef. index # 167		(-0.00046852,-0.00020021)
Coef. index # 168		(0.00032423,0.00040503)
Coef. index # 169		(-3.86192e-05,-0.00040348)
Coef. index # 170		(-0.00022433,0.00023213)
Coef. index # 171		(0.00035482,-3.06405e-07)
Coef. index # 172		(-0.00034877,-0.00023967)
Coef. index # 173		(0.00016025,0.00031413)
Coef. index # 174		(3.12557e-05,-0.0003011)
Coef. index # 175		(-0.00024865,0.00010194)
Coef. index # 176		(0.0002789,5.71017e-05)
Coef. index # 177		(-0.00025851,-0.0002527)
Coef. index # 178		(5.33978e-05,0.00024696)
Coef. index # 179		(7.80188e-05,-0.00021985)
Coef. index # 180		(-0.00025277,1.23088e-05)
Coef. index # 181		(0.00021711,9.46037e-05)
Coef. index # 182		(-0.00018437,-0.00024951)
Coef. index # 183		(-2.27853e-05,0.00018865)
Coef. index # 184		(0.00010731,-0.00015164)
Coef. index # 185		(-0.00024342,-5.28484e-05)
Coef. index # 186		(0.00016122,0.00011651)
Coef. index # 187		(-0.00012139,-0.0002349)
Coef. index # 188		(-7.85342e-05,0.00013463)
Coef. index # 189		(0.0001225,-9.34592e-05)
Coef. index # 190		(-0.0002243,-0.00010031)
Coef. index # 191		(0.00010881,0.00012554)
Coef. index # 192		(-6.77654e-05,-0.00021192)
Coef. index # 193		(-0.00011852,8.3779e-05)
Coef. index # 194		(0.00012588,-4.42741e-05)
Coef. index # 195		(-0.00019806,-0.00013342)
Coef. index # 196		(5.95916e-05,0.00012374)
Coef. index # 197		(-2.29795e-05,-0.00018297)
Coef. index # 198		(-0.00014523,3.63458e-05)
Coef. index # 199		(0.00011933,-3.88734e-06)
Coef. index # 200		(-0.00016694,-0.00015414)
Coef. index # 201		(1.41519e-05,0.00011289)
Coef. index # 202		(1.29887e-05,-0.0001502)
Coef. index # 203		(-0.00016032,-6.86897e-06)
Coef. index # 204		(0.00010462,2.76398e-05)
Coef. index # 205		(-0.00013302,-0.00016393)
Coef. index # 206		(-2.65921e-05,9.47546e-05)
Coef. index # 207		(4.00618e-05,-0.00011563)
Coef. index # 208		(-0.00016515,-4.48981e-05)
Coef. index # 209		(8.35136e-05,5.02667e-05)
Coef. index # 210		(-9.82601e-05,-0.00016414)
Coef. index # 211		(-6.16773e-05,7.11256e-05)
Coef. index # 212		(5.82747e-05,-8.11382e-05)
Coef. index # 213		(-0.00016108,-7.68281e-05)
Coef. index # 214		(5.78226e-05,6.41276e-05)
Coef. index # 215		(-6.44755e-05,-0.00015614)
Coef. index # 216		(-9.02684e-05,4.38318e-05)
Coef. index # 217		(6.78818e-05,-4.84684e-05)
Coef. index # 218		(-0.00014953,-0.00010193)
Coef. index # 219		(2.93828e-05,6.96108e-05)
Coef. index # 220		(-3.33022e-05,-0.00014145)
Coef. index # 221		(-0.00011176,1.46986e-05)
Coef. index # 222		(6.94087e-05,-1.91452e-05)
Coef. index # 223		(-0.00013209,-0.00011974)
Coef. index # 224		(-4.65661e-10,6.73868e-05)
Coef. index # 225		(-6.14533e-06,-0.00012166)
Coef. index # 226		(-0.00012586,-1.45044e-05)
Coef. index # 227		(6.36708e-05,5.56745e-06)
Coef. index # 228		(-0.0001104,-0.00013012)
Coef. index # 229		(-2.86121e-05,5.84037e-05)
Coef. index # 230		(1.58846e-05,-9.84943e-05)
Coef. index # 231		(-0.00013257,-4.21354e-05)
Coef. index # 232		(5.17429e-05,2.47196e-05)
Coef. index # 233		(-8.61762e-05,-0.00013327)
Coef. index # 234		(-5.49001e-05,4.38546e-05)
Coef. index # 235		(3.20077e-05,-7.36513e-05)
Coef. index # 236		(-0.00013229,-6.67493e-05)
Coef. index # 237		(3.49209e-05,3.77088e-05)
Coef. index # 238		(-6.11274e-05,-0.00012972)
Coef. index # 239		(-7.75433e-05,2.51248e-05)
Coef. index # 240		(4.18038e-05,-4.88004e-05)
Coef. index # 241		(-0.00012569,-8.71592e-05)
Coef. index # 242		(1.46599e-05,4.42988e-05)
Coef. index # 243		(-3.68594e-05,-0.00012031)
Coef. index # 244		(-9.54992e-05,3.71877e-06)
Coef. index # 245		(4.52218e-05,-2.54791e-05)
Coef. index # 246		(-0.00011374,-0.00010248)
Coef. index # 247		(-7.50367e-06,4.46206e-05)
Coef. index # 248		(-1.48211e-05,-0.00010613)
Coef. index # 249		(-0.00010806,-1.8815e-05)
Coef. index # 250		(4.2568e-05,-5.03194e-06)
Coef. index # 251		(-9.76501e-05,-0.00011219)
Coef. index # 252		(-3.00314e-05,3.91519e-05)
Coef. index # 253		(3.76347e-06,-8.84691e-05)
Coef. index # 254		(-0.00011487,-4.09693e-05)
Coef. index # 255		(3.4479e-05,1.14567e-05)
Coef. index # 256		(-7.8768e-05,-0.0001161)
Coef. index # 257		(-5.14621e-05,2.86726e-05)
Coef. index # 258		(1.79587e-05,-6.87274e-05)
Coef. index # 259		(-0.00011591,-6.13523e-05)
Coef. index # 260		(2.18689e-05,2.32048e-05)
Coef. index # 261		(-5.85262e-05,-0.00011438)
Coef. index # 262		(-7.0496e-05,1.42157e-05)
Coef. index # 263		(2.7149e-05,-4.83422e-05)
Coef. index # 264		(-0.00011155,-7.87661e-05)
Coef. index # 265		(5.86873e-06,2.97679e-05)
Coef. index # 266		(-3.83463e-05,-0.00010753)
Coef. index # 267		(-8.60533e-05,-3.00771e-06)
Coef. index # 268		(3.10605e-05,-2.87024e-05)
Coef. index # 269		(-0.00010243,-9.22661e-05)
Coef. index # 270		(-1.22474e-05,3.10466e-05)
Coef. index # 271		(-1.95634e-05,-9.63602e-05)
Coef. index # 272		(-9.73321e-05,-2.16831e-05)
Coef. index # 273		(2.97669e-05,-1.10702e-05)
Coef. index # 274		(-8.94582e-05,-0.0001012)
Coef. index # 275		(-3.11472e-05,2.72798e-05)
Coef. index # 276		(-3.34857e-06,-8.18674e-05)
Coef. index # 277		(-0.00010384,-4.04762e-05)
Coef. index # 278		(2.3664e-05,3.4906e-06)
Coef. index # 279		(-7.37403e-05,-0.00010525)
Coef. index # 280		(-4.95161e-05,1.9013e-05)
Coef. index # 281		(9.3542e-06,-6.52303e-05)
Coef. index # 282		(-0.00010543,-5.81183e-05)
Coef. index # 283		(1.34357e-05,1.41677e-05)
Coef. index # 284		(-5.64964e-05,-0.00010441)
Coef. index # 285		(-6.61463e-05,7.0543e-06)
Coef. index # 286		(1.78758e-05,-4.76972e-05)
Coef. index # 287		(-0.00010225,-7.34753e-05)
Coef. index # 288		(0,2.04439e-05)
Coef. index # 289		(-3.8987e-05,-9.90164e-05)
